# BEGIN PLOT
DrawOnly=/afs/cern.ch/user/l/lmeng/TestChamber/RivetAnalyses/Rivet.yoda/Razor/razor_mr
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /afs/cern.ch/user/l/lmeng/TestChamber/RivetAnalyses/Rivet.yoda/Razor/razor_mr
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/afs/cern.ch/user/l/lmeng/TestChamber/RivetAnalyses/Rivet.yoda/Razor/razor_mr
Title=Rivet
Type=Histo1D
XLabel=M_R
YLabel=Relative Occurrence
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	2.000000e+02	2.560000e+00	1.600000e-01	1.600000e-01
2.000000e+02	3.000000e+02	6.610000e+00	2.570992e-01	2.570992e-01
3.000000e+02	4.000000e+02	4.950000e+00	2.224860e-01	2.224860e-01
4.000000e+02	5.000000e+02	3.580000e+00	1.892089e-01	1.892089e-01
5.000000e+02	6.000000e+02	2.140000e+00	1.462874e-01	1.462874e-01
6.000000e+02	7.000000e+02	1.360000e+00	1.166190e-01	1.166190e-01
7.000000e+02	8.000000e+02	1.170000e+00	1.081665e-01	1.081665e-01
8.000000e+02	9.000000e+02	7.600000e-01	8.717798e-02	8.717798e-02
9.000000e+02	1.000000e+03	5.000000e-01	7.071068e-02	7.071068e-02
1.000000e+03	1.100000e+03	3.400000e-01	5.830952e-02	5.830952e-02
1.100000e+03	1.200000e+03	2.500000e-01	5.000000e-02	5.000000e-02
1.200000e+03	1.300000e+03	1.300000e-01	3.605551e-02	3.605551e-02
1.300000e+03	1.400000e+03	1.700000e-01	4.123106e-02	4.123106e-02
# END HISTOGRAM

