# BEGIN PLOT
DrawOnly=/afs/cern.ch/user/l/lmeng/TestChamber/RivetAnalyses/Rivet.yoda/Razor/razor_r2
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /afs/cern.ch/user/l/lmeng/TestChamber/RivetAnalyses/Rivet.yoda/Razor/razor_r2
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/afs/cern.ch/user/l/lmeng/TestChamber/RivetAnalyses/Rivet.yoda/Razor/razor_r2
Title=Rivet
Type=Histo1D
XLabel=R^2
YLabel=Relative Occurrence
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	4.180000e+03	2.044505e+02	2.044505e+02
1.000000e-01	2.000000e-01	4.630000e+03	2.151743e+02	2.151743e+02
2.000000e-01	3.000000e-01	3.380000e+03	1.838478e+02	1.838478e+02
3.000000e-01	4.000000e-01	2.350000e+03	1.532971e+02	1.532971e+02
4.000000e-01	5.000000e-01	1.890000e+03	1.374773e+02	1.374773e+02
5.000000e-01	6.000000e-01	1.870000e+03	1.367479e+02	1.367479e+02
6.000000e-01	7.000000e-01	1.570000e+03	1.252996e+02	1.252996e+02
7.000000e-01	8.000000e-01	1.580000e+03	1.256981e+02	1.256981e+02
8.000000e-01	9.000000e-01	1.900000e+03	1.378405e+02	1.378405e+02
9.000000e-01	1.000000e+00	1.180000e+03	1.086278e+02	1.086278e+02
1.000000e+00	1.100000e+00	2.200000e+02	4.690416e+01	4.690416e+01
1.100000e+00	1.200000e+00	7.000000e+01	2.645751e+01	2.645751e+01
1.200000e+00	1.300000e+00	1.000000e+01	1.000000e+01	1.000000e+01
1.300000e+00	1.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

