# BEGIN PLOT
DrawOnly=/afs/cern.ch/user/l/lmeng/TestChamber/RivetAnalyses/Rivet.yoda/Razor/trigger_MET
Legend=1
LogY=1
# END PLOT

# BEGIN HISTOGRAM /afs/cern.ch/user/l/lmeng/TestChamber/RivetAnalyses/Rivet.yoda/Razor/trigger_MET
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/afs/cern.ch/user/l/lmeng/TestChamber/RivetAnalyses/Rivet.yoda/Razor/trigger_MET
Title=Rivet
Type=Histo1D
XLabel=E_{T}^{miss}
YLabel=Relative Occurrence
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	1.700000e+01	9.219544e-01	9.219544e-01
6.000000e+01	8.000000e+01	4.260000e+01	1.459452e+00	1.459452e+00
8.000000e+01	1.000000e+02	1.006500e+02	2.243323e+00	2.243323e+00
1.000000e+02	1.200000e+02	8.820000e+01	2.100000e+00	2.100000e+00
1.200000e+02	1.400000e+02	6.940000e+01	1.862794e+00	1.862794e+00
1.400000e+02	1.600000e+02	5.800000e+01	1.702939e+00	1.702939e+00
1.600000e+02	1.800000e+02	4.085000e+01	1.429161e+00	1.429161e+00
1.800000e+02	2.000000e+02	3.175000e+01	1.259960e+00	1.259960e+00
2.000000e+02	2.200000e+02	2.385000e+01	1.092016e+00	1.092016e+00
2.200000e+02	2.400000e+02	1.760000e+01	9.380832e-01	9.380832e-01
2.400000e+02	2.600000e+02	1.515000e+01	8.703448e-01	8.703448e-01
2.600000e+02	2.800000e+02	1.000000e+01	7.071068e-01	7.071068e-01
2.800000e+02	3.000000e+02	9.000000e+00	6.708204e-01	6.708204e-01
3.000000e+02	3.200000e+02	7.850000e+00	6.264982e-01	6.264982e-01
3.200000e+02	3.400000e+02	7.850000e+00	6.264982e-01	6.264982e-01
3.400000e+02	3.600000e+02	5.000000e+00	5.000000e-01	5.000000e-01
3.600000e+02	3.800000e+02	4.050000e+00	4.500000e-01	4.500000e-01
3.800000e+02	4.000000e+02	4.000000e+00	4.472136e-01	4.472136e-01
4.000000e+02	4.200000e+02	3.350000e+00	4.092676e-01	4.092676e-01
4.200000e+02	4.400000e+02	2.150000e+00	3.278719e-01	3.278719e-01
4.400000e+02	4.600000e+02	1.750000e+00	2.958040e-01	2.958040e-01
4.600000e+02	4.800000e+02	2.000000e+00	3.162278e-01	3.162278e-01
4.800000e+02	5.000000e+02	9.000000e-01	2.121320e-01	2.121320e-01
5.000000e+02	5.200000e+02	8.500000e-01	2.061553e-01	2.061553e-01
5.200000e+02	5.400000e+02	1.400000e+00	2.645751e-01	2.645751e-01
5.400000e+02	5.600000e+02	1.150000e+00	2.397916e-01	2.397916e-01
5.600000e+02	5.800000e+02	7.500000e-01	1.936492e-01	1.936492e-01
5.800000e+02	6.000000e+02	4.000000e-01	1.414214e-01	1.414214e-01
6.000000e+02	6.200000e+02	8.000000e-01	2.000000e-01	2.000000e-01
6.200000e+02	6.400000e+02	5.500000e-01	1.658312e-01	1.658312e-01
6.400000e+02	6.600000e+02	5.000000e-01	1.581139e-01	1.581139e-01
6.600000e+02	6.800000e+02	3.500000e-01	1.322876e-01	1.322876e-01
6.800000e+02	7.000000e+02	4.000000e-01	1.414214e-01	1.414214e-01
7.000000e+02	7.200000e+02	2.000000e-01	1.000000e-01	1.000000e-01
7.200000e+02	7.400000e+02	5.000000e-01	1.581139e-01	1.581139e-01
7.400000e+02	7.600000e+02	2.000000e-01	1.000000e-01	1.000000e-01
7.600000e+02	7.800000e+02	2.000000e-01	1.000000e-01	1.000000e-01
7.800000e+02	8.000000e+02	2.000000e-01	1.000000e-01	1.000000e-01
8.000000e+02	8.200000e+02	5.000000e-02	5.000000e-02	5.000000e-02
8.200000e+02	8.400000e+02	1.500000e-01	8.660254e-02	8.660254e-02
8.400000e+02	8.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+02	8.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+02	9.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+02	9.400000e+02	1.000000e-01	7.071068e-02	7.071068e-02
9.400000e+02	9.600000e+02	5.000000e-02	5.000000e-02	5.000000e-02
9.600000e+02	9.800000e+02	5.000000e-02	5.000000e-02	5.000000e-02
9.800000e+02	1.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTOGRAM

