Dataset SR Nbkg errNbkg1 errNbkg2 errNbkg3 Obs 95%obs
8TeV_1GeV SR1 88561.0 297.592094354 0 0 121272.0 33503.2083984
8TeV_1GeV SR2 11435.0 106.934571459 0 0 27366.0 16322.0078125
8TeV_1GeV SR3 259.0 16.0934732892 0 0 3619.0 3503.76875
8TeV_1GeV SR4 68.0 8.24621857124 0 0 1958.0 1997.65
8TeV_10GeV SR1 88561.0 297.592094354 0 0 123099.0 35356.3662842
8TeV_10GeV SR2 11435.0 106.934571459 0 0 28287.0 17242.9726562
8TeV_10GeV SR3 259.0 16.0934732892 0 0 3895.0 3784.5375
8TeV_10GeV SR4 68.0 8.24621857124 0 0 2145.0 2194.6
8TeV_50GeV SR1 88561.0 297.592094354 0 0 145168.0 57427.7578125
8TeV_50GeV SR2 11435.0 106.934571459 0 0 39258.0 28285.609375
8TeV_50GeV SR3 259.0 16.0934732892 0 0 6194.0 6117.271875
8TeV_50GeV SR4 68.0 8.24621857124 0 0 3382.0 3452.35
8TeV_100GeV SR1 88561.0 297.592094354 0 0 147502.0 59815.0230469
8TeV_100GeV SR2 11435.0 106.934571459 0 0 40363.0 29358.578125
8TeV_100GeV SR3 259.0 16.0934732892 0 0 6564.0 6495.9734375
8TeV_100GeV SR4 68.0 8.24621857124 0 0 3602.0 3673.675
8TeV_200GeV SR1 88561.0 297.592094354 0 0 134509.0 46797.5079102
8TeV_200GeV SR2 11435.0 106.934571459 0 0 34448.0 23452.7792969
8TeV_200GeV SR3 259.0 16.0934732892 0 0 5455.0 5375.0
8TeV_200GeV SR4 68.0 8.24621857124 0 0 3054.0 3118.9
8TeV_300GeV SR1 88561.0 297.592094354 0 0 136557.0 48847.4421875
8TeV_300GeV SR2 11435.0 106.934571459 0 0 35734.0 24744.8125
8TeV_300GeV SR3 259.0 16.0934732892 0 0 5819.0 5724.7
8TeV_300GeV SR4 68.0 8.24621857124 0 0 3240.0 3308.05
8TeV_400GeV SR1 88561.0 297.592094354 0 0 135488.0 47800.8512695
8TeV_400GeV SR2 11435.0 106.934571459 0 0 35460.0 24467.6289062
8TeV_400GeV SR3 259.0 16.0934732892 0 0 5791.0 5712.93125
8TeV_400GeV SR4 68.0 8.24621857124 0 0 3258.0 3322.675
8TeV_500GeV SR1 88561.0 297.592094354 0 0 150009.0 62345.0052246
8TeV_500GeV SR2 11435.0 106.934571459 0 0 43427.0 32483.5996094
8TeV_500GeV SR3 259.0 16.0934732892 0 0 7893.0 7849.8
8TeV_500GeV SR4 68.0 8.24621857124 0 0 4568.0 4661.35
